Brand,Price,Color,Condition,GPU,Processor Speed,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Screen Size (inch),Ram Size
dell,175,black,Used,intel,2.4,windows,hdd/ssd,500,500,14,16
dell,101.25,other,Good - Refurbished,other,1.4,windows,ssd,0,256,12.5,8
acer,50,black,Used,other,1.6,chrome,ssd,0,16,11.6,4
hp,39.6,black,Used,other,1.6,chrome,hdd/ssd,16,16,11.6,4
dell,280,black,Excellent - Refurbished,other,2.8,windows,hdd/ssd,512,500,14,16
lenovo,138,black,Used,intel,1.7,windows,ssd,0,128,14,16
dell,218,black,Used,intel,1.6,unknown,ssd,0,512,15.6,16
dell,130,black,Used,intel,1.1,windows,hdd/ssd,128,128,11,4
acer,40,gray,Used,intel,1.6,chrome,hdd/ssd,16,16,11.6,4
dell,625,other,Open box,other,4.4,windows,hdd/ssd,1000,1000,16,32
dell,315,silver,Used,amd,2.3,windows,ssd,0,512,14,16
dell,200,black,Used,intel,2.6,windows,hdd/ssd,256,256,12.5,8
hp,300,silver,New,intel,1.6,unknown,ssd,0,512,13,16
microsoft,60,gray,Used,other,1.9,windows,hdd/ssd,128,128,12,4
hp,439,silver,New,intel,4.2,windows,hdd/ssd,2000,2000,15.6,32
dell,345,black,Very Good - Refurbished,intel,3.1,windows,hdd/ssd,512,512,15.6,16
hp,209,black,Very Good - Refurbished,intel,2.5,windows,ssd,0,512,15.6,16
lenovo,799,gray,Used,nvidia,3.5,windows,ssd,0,512,16,16
lenovo,100,brown,Used,intel,1.9,unknown,hdd/ssd,256,256,14,8
dell,219,black,Used,other,3.9,windows,hdd/ssd,512,512,15.61,16
dell,152.5,black,Used,intel,1.6,windows,ssd,0,256,14,8
dell,489,black,New,amd,4.5,windows,hdd/ssd,512,512,15.6,16
dell,120,black,Used,other,2.4,unknown,hdd,8,0,14,8
hp,29.98,multicolor,Used,other,2.16,chrome,hdd/ssd,16,16,14,16
hp,145,black,Very Good - Refurbished,intel,2.3,windows,ssd,0,512,15.6,8
dell,160,other,Used,other,2.3,windows,hdd/ssd,256,256,15.6,8
dell,130,black,Used,intel,2.6,windows,hdd/ssd,256,256,12.5,8
lenovo,81,black,Used,other,2.5,windows,hdd/ssd,320,120,12.5,4
microsoft,103.75,silver,Used,other,2.6,unknown,hdd,512,0,13.5,1
dell,200,black,Used,nvidia,2.5,windows,ssd,0,256,15.6,8
dell,105,black,Used,other,2.6,windows,hdd/ssd,256,256,14,8
lenovo,90,black,Used,other,2.3,windows,hdd/ssd,128,128,11.6,8
lenovo,599,grey,New,intel,4.2,windows,hdd/ssd,1000,1000,15.6,20
dell,170,other,Very Good - Refurbished,other,2.4,unknown,hdd/ssd,500,500,14,16
dell,239,other,Used,other,2.7,windows,ssd,0,512,15.6,16
hp,290,silver,Very Good - Refurbished,intel,2.6,windows,hdd/ssd,500,500,14,32
microsoft,409,silver,Open box,intel,2.4,windows,ssd,0,256,12.3,8
dell,200,black,Used,intel,2.4,windows,hdd/ssd,256,256,14,8
hp,659,blue,Used,nvidia,2.1,windows,ssd,0,512,15.6,8
dell,229,gray,Used,intel,1.7,unknown,hdd/ssd,512,512,14,16
lenovo,180,black,Used,intel,2.6,windows,hdd/ssd,512,512,14.1,16
dell,125.94,black,Very Good - Refurbished,intel,2.4,windows,ssd,0,240,14,8
lenovo,90,gray,Used,intel,2.2,windows,ssd,0,128,13,4
hp,999,other,Used,other,1.6,unknown,ssd,0,256,15.6,8
lenovo,229,other,Used,other,1.7,windows,ssd,0,256,14,16
asus,293,gray,Used,intel,1.8,windows,hdd/ssd,256,256,15.6,8
dell,185,gray,Used,other,1.7,unknown,ssd,0,512,14,16
hp,259,silver,Used,intel,2.1,windows,hdd/ssd,256,256,11.6,8
